country,el país
to travel,viajar
trip,el viaje
traveler,el viajero
vacation,la vacación
flight,el vuelo
boarding pass,la tarjeta de embarque
flight attendant,el/la auxiliar de vuelo
airline,la aerolínea
flight number,el número de vuelo
suitcase,la maleta
terminal,el/la terminal
to land,aterrizar
to disembark,desembarcar
to board,embarcar
to take off,despegar
on board,a bordo
to check in,hacer el check-in
crew,la tripulación
form,el formulario
customs officer,el inspector de aduanas
customs officer,el aduanero
baggage claim is here,la recogida de equipajes está aquí
baggage claim is here,el reclamo de equipaje está aquí
baggage,el equipaje
boarding gate,la puerta de embarque
exit,la salida
row,la fila
seat,el asiento
airport,el aeropuerto
light aircraft,la avioneta
lost,perdido
window seat,asiento de ventanilla
aisle seat,el asiento de pasillo
round trip,el viaje de ida y vuelta
loudspeaker,el parlante
destination,el destino
luggage,el equipaje
carry-on luggage,el equipaje de mano
baggage claim,el reclamo de equipaje
immigration,la inmigración
customs,la aduana
route,la ruta
arrival,la llegada
departure,la ida
visa,el visado
passport,el pasaporte
identification,la identificación
stopover,la escala
one-way ticket,el boleto sencillo
one-way ticket,el billete de ida
round-trip ticket,el boleto de ida y vuelta
round-trip ticket,billete de ida y vuelta
plane ticket,el boleto de avión
foreigner,el extranjero
resident,residente
security check,el control de seguridad
runway,la pista de aterrizaje
fee,la tasa
room service,servicio a la habitación
hotel,el hotel
guest,el/la huésped
hostel,el albergue
travel agent,el/la agente de viajes
hotel industry,la hostelería
cruise,el crucero
parking lot,el parking
guide,el/la guía
brochure,el folleto
tourism,el turismo
tourist,el/la turista
to book,reservar
to confirm,confirmar
to travel abroad,viajar al extranjero
to fly,viajar en avión
to rent a car,alquilar un coche
to stay,alojarse
to take a photo,sacar una foto
to take a photo,tomar una foto
to plan,planear
to go to the beach,ir a la playa
on time,puntual
on time,a su hora
delayed,retrasado
to pack,hacer la maleta
public transport,el transporte público
taxi,el taxi
duty free shop,el duty free
road,el camino
stop,la parada
platform,el andén
reception,la recepción
expensive,caro
cheap,económico
customer service,el servicio al cliente
turbulence,la turbulencia
seat belt,el cinturón de seguridad
pilot,el/la piloto
copilot,el/la copiloto
captain,el/la comandante
ticket,el billete
ticket,el boleto
passenger,el pasajero
to walk,caminar
to walk,andar
way,el camino
on the way,en el camino
travel agency,la agencia de viajes
to sail,navegar
to drive,manejar
to drive,conducir
backpacker,el mochilero
backpack,la mochila
to travel around,recorrer
to travel around,viajar por
tour,el tour
to explore,explorar
to discover,descubrir
traveler's check,el cheque de viajero
tourist class,la clase turista
first class,la primera clase
to ride,andar en
to ride,pilotar
to ride,montar
bus,el bus
train,el tren
metro,el metro
ferry,el ferry
shuttle,el servicio regular de enlace
journey,el viaje
review,la reseña
restaurant,el restaurante
hike,la marcha
excursion,la excursión
all-inclusive,con todo incluido
beach,la playa
mountains,la montaña
city,la ciudad
countryside,el campo
geography,la geografía
temperature,la temperatura
climate,el clima
to go for a walk,dar un paseo
north,el norte
south,el sur
east,el este
west,el oeste
hemisphere,el hemisferio
town,el pueblo
monument,el monumento
view,el panorama
museum,el museo
historic center,centro histórico
market,el mercado
attractions,los lugares de interés
souvenir,el souvenir
postcard,la postal
one-way,de ida
waiting room,la sala de espera
hotel room,la habitación de hotel
hotel room,el cuarto de hotel
streetcar,el tranvía
to travel around the world,viajar por el mundo
World Heritage,el patrimonio de la humanidad
