development,el desarrollo
native,el nativo
foreigner,el extranjero
tribe,la tribu
hunk,el mango
babe,la mamacita
neighbor,el vecino
expert,el experto
upbringing,la crianza
manners,los modales
sense,el juicio
Ms.,Sra.
Mrs.,Sra.
Ms.,Dña.
Mr.,D.
Mr.,Sr.
Miss,Srta.
celebrity,la celebridad
custom,la costumbre
character,el carácter
character,el personaje
prince,el príncipe
princess,la princesa
queen,la reina
king,el rey
knight,el caballero
gentleman,el caballero
lady,la dama
fool,el bobo
ugliness,la fealdad
beauty,la belleza
race,la raza
childhood,la infancia
alive,vivo
senior,la persona de la tercera edad
single,soltero
separated,separado
divorced,divorciado
married,casado
humanity,la humanidad
born,el nacido
to die,morirse
world,el mundo
people,la gente
to be born,nacer
children,los hijos
identity,la identidad
surname,el apellido
name,el nombre
community,la comunidad
gender,el género
president,el presidente
prime minister,el primer ministro
governor,el gobernador
mayor,la alcaldesa
relationship,la relación
student,el/la estudiante
husband,el marido
wife,la esposa
life,la vida
person,la persona
newborn,recién nacido
toddler,niño pequeño
baby,el/la bebé
friend,el amigo
teacher,el profesor
elderly woman,la anciana
elderly man,el anciano
girl,la chica
boy,el muchacho
child,el niño
woman,la mujer
man,el hombre
