view,la vista
ashamed,avergonzado
cake,la torta
kiss,el beso
joke,la broma
signature,la firma
to hurt oneself,lastimarse
figure,la cifra
to go with,acompañar
excellent,excelente
cheek,la mejilla
hurt,herido
cucumber,el pepino
bitter,amargo
trial,el juicio
cast,el yeso
previous,anterior
ticket,el pasaje
survey,la encuesta
smell,el olor
those,aquellos
reading,la lectura
lesson,la lección
seated,sentado
smooth,liso
call,la llamada
to judge,juzgar
mountain range,la cordillera
generally,generalmente
to grant,otorgar
pencil sharpener,el sacapuntas
disgust,el asco
example,el ejemplo
coward,el cobarde
tablecloth,el mantel
beginning,el principio
unknown,desconocido
to make a mistake,equivocarse
outgoing,extrovertido
only,solo
to feed,alimentar
training,el entrenamiento
sheet,la sábana
to get lost,perderse
to enter,ingresar
to undertake,emprender
natural,natural
route,el recorrido
border,la frontera
pregnant,embarazada
humor,el humor
to cut oneself,cortarse
actually,realmente
to rescue,rescatar
mixture,la mezcla
noisy,ruidoso
to contribute,contribuir
science,las ciencias
plan,el plano
to shoot,rodar
witness,el/la testigo
achievement,el logro
advanced,avanzado
leader,el/la líder
dryer,la secadora
tower,la torre
headquarters,la sede
worldwide,mundial
tissue,el tejido
grass,la hierba
stubborn,terco
to bet,apostar
treatment,el tratamiento
broth,el caldo
surprised,sorprendido
finally,finalmente
heating,la calefacción
mattress,el colchón
reader,el lector
hill,la colina
tire,la llanta
to get tired,cansarse
schedule,la agenda
software,el software
gossip,el chisme
dollar,el dólar
fly,la mosca
godfather,el padrino
tenderness,la ternura
news,la noticia
elephant,el elefante
plot,la trama
scarce,escaso
immediately,inmediatamente
curtain,la cortina
shark,el tiburón
conversation,la conversación
essay,la redacción
skyscraper,el rascacielos
polite,cortés
to cause,provocar
to stay,alojarse
feeling,el sentimiento
crisis,la crisis
brain,el cerebro
deep,profundo
ball,la bola
values,los valores
at,la arroba
bar,la barra
championship,el campeonato
contempt,el desprecio
to turn out,resultar
issue,la cuestión
trade,el oficio
close,cercano
children's,infantil
future,el porvenir
french fry,la papa frita
bay,la bahía
crash,el choque
probably,seguramente
detail,el detalle
square,el cuadrado
detective,el/la detective
to clarify,aclarar
to leave,abandonar
prudent,prudente
prisoner,el preso
recently,recientemente
because of,debido a
juice,el zumo
cleanliness,la limpieza
round-trip,ida y vuelta
compass,la brújula
confused,confundido
across from,enfrente de
attentive,atento
Bye!,¡Chau!
to cultivate,cultivar
to separate,separar
fame,la fama
shame,la lástima
motto,el lema
easily,fácilmente
spoonful,la cucharada
to like,caer bien
lately,últimamente
soft,blando
to take care of oneself,cuidarse
elderly,los ancianos
unexpected,inesperado
laundry,la lavandería
consultation,la consulta
grill,la parrilla
wonder,la maravilla
to congratulate,felicitar
bright,brillante
mist,la neblina
Guatemala,Guatemala
bat,el bate
lighthouse,el faro
to take notes,tomar apuntes
Easter,la Pascua
darkness,la oscuridad
to believe,opinar
entertaining,entretenido
reality,la realidad
to require,requerir
Germany,Alemania
to risk,arriesgar
to foresee,prever
homage,el homenaje
typical,típico
to exploit,explotar
windshield,el parabrisas
to search,registrar
retired,jubilado
approximately,aproximadamente
anxiety,la angustia
medium,mediano
mortgage,la hipoteca
social network,la red social
eggplant,la berenjena
speed,la velocidad
to check in one's luggage,facturar el equipaje
shelter,el refugio
isolated,aislado
absent-minded,despistado
machine,la máquina
tiger,el tigre
remedy,el remedio
gazpacho,el gazpacho
Arabic,el árabe
to make an effort,esforzarse
chewing gum,el chicle
to guarantee,garantizar
gardener,el jardinero
vaccine,la vacuna
future,futuro
dozen,la docena
short film,el cortometraje
Colombia,Colombia
wire,el cable
worthy,digno
cultural,cultural
oar,el remo
merchandise,la mercancía
flashlight,la linterna
lung,el pulmón
moment,el momento
advance,el avance
maturity,la madurez
capacity,la capacidad
triumph,el triunfo
bilingual,bilingüe
Nicaragua,Nicaragua
to manage,gestionar
to govern,gobernar
zoo,el zoológico
Puerto Rican,puertorriqueño
bravery,la valentía
false,falso
to apologize,disculparse
hero,el héroe
department,el departamento
to keep in mind,tener en cuenta
to pack,hacer la maleta
olive,la aceituna
advisor,el asesor
princess,la princesa
to joke,bromear
to exchange,intercambiar
pessimistic,pesimista
to declare,manifestar
to hug each other,abrazarse
teenager,el/la adolescente
solidarity,la solidaridad
murder,el asesinato
waste,el desperdicio
enemy,el enemigo
institute,el instituto
match,el fósforo
to put on one's clothes,ponerse la ropa
to accuse,acusar
outer,exterior
sweetness,la dulzura
result,el resultado
to be lucky,tener suerte
skating,el patinaje
phenomenon,el fenómeno
exaggerated,exagerado
personality,la personalidad
hairstyle,el peinado
tradition,la tradición
citizenship,la ciudadanía
introverted,introvertido
rule,la norma
winner,el ganador
figure,la figura
tournament,el torneo
glass,el cristal
waterfall,la cascada
to introduce oneself,presentarse
to explore,explorar
initiative,la iniciativa
to be moved,emocionarse
psychology,la psicología
to dust the furniture,sacudir los muebles
stepson,el hijastro
France,Francia
Ecuadorian,el ecuatoriano
to mistreat,maltratar
situation,la situación
to score a goal,meter un gol
Holy Week,la Semana Santa
chickpea,el garbanzo
loss,la pérdida
direct,directo
request,la petición
prejudice,el prejuicio
kid,el chaval
thermometer,el termómetro
conservative,conservador
explanation,la explicación
furious,furioso
considerate,considerado
unfair,injusto
verse,el verso
to get a good grade,sacar una buena nota
to tell,narrar
shooting,el rodaje
pea,el guisante
hostel,el hostal
sting,la picadura
construction,la construcción
electrical appliance,el electrodoméstico
to be about,tratarse de
risky,arriesgado
spare time,ratos libres
to imitate,imitar
carnival,el carnaval
aspirin,la aspirina
tent,la tienda de campaña
sausage,el embutido
registration,la inscripción
disadvantage,la desventaja
to be sure,estar seguro
to see a movie,ver una película
to iron the clothes,planchar la ropa
to create a favorable atmosphere for,propiciar
tendency,la tendencia
favorite,preferido
banker,el banquero
secret,el secreto
medal,la medalla
increase,el incremento
to protest,protestar
efficient,eficiente
toast,el pan tostado
boiled,hervido
national,nacional
environment,el medioambiente
sedentary,sedentario
slipper,la zapatilla
difficulty,la dificultad
shell,la cáscara
heroine,la heroína
ecotourism,el ecoturismo
audience,el auditorio
social sciences,las ciencias sociales
digital,digital
mystery,el misterio
to restrict,restringir
melon,el melón
producer,el productor
Colombian,el colombiano
to lie down,tumbarse
occupation,la ocupación
gallery,la galería
representative,el/la representante
to play the piano,tocar el piano
dynamic,dinámico
magic,mágico
establishment,el establecimiento
immature,inmaduro
besides,además de
to break up with,romper con
curiosity,la curiosidad
diverse,diverso
honeymoon,la luna de miel
careless,imprudente
adult,el adulto
human rights,los derechos humanos
in a bad mood,de mal humor
half-brother,el medio hermano
prose,la prosa
discipline,la disciplina
dignity,la dignidad
Italy,Italia
length,la duración
to manage,administrar
independence,la independencia
bedside table,la mesita de noche
marketing,el mercadeo
astronaut,el/la astronauta
ingredient,el ingrediente
generation,la generación
soundtrack,la banda sonora
depression,la depresión
jeans,el jean
to reuse,reutilizar
democracy,la democracia
suspense,el suspenso
central,céntrico
to wash one's hands,lavarse las manos
to anger,indignar
religious,religioso
to fall in love with,enamorarse de
authentic,auténtico
to collide with,chocar con
perspective,la perspectiva
to brush one's hair,cepillarse el pelo
creation,la creación
roommate,el compañero de cuarto
submissive,agachado
extinction,la extinción
to click,hacer clic
to fill the tank,llenar el tanque
Brazilian,el brasileño
nerdy,empollón
to be fed up with,estar harto de
insect,el insecto
to be lost,estar perdido
to play the role of,hacer el papel de
exportation,la exportación
punctuality,la puntualidad
conversation,el diálogo
browser,el navegador
to misbehave,portarse mal
to give an injection,poner una inyección
microwave,el horno de microondas
surfboard,la tabla de surf
category,la categoría
motivated,motivado
to ride a bicycle,pasear en bicicleta
to play an instrument,tocar un instrumento
dormitory,la residencia estudiantil
irresponsible,irresponsable
to have one's birthday,cumplir años
sardine,la sardina
main character,el personaje principal
infection,la infección
protein,la proteína
to be in pain,tener dolor
researcher,el investigador
media,medios de comunicación
traveler's check,el cheque de viajero
cholesterol,el colesterol
boarding gate,la puerta de embarque
to get angry with,enojarse con
stockbroker,el corredor de bolsa
before,antes que
slogan,el eslogan
drug addict,el drogadicto
ecosystem,el ecosistema
accessory,el accesorio
genetics,la genética
to go on a trip,ir de excursión
life jacket,el chaleco salvavidas
nightlife,la vida nocturna
atmosphere,la atmósfera
curriculum vitae,el currículum vitae
intolerant,intolerante
to go to the gym,ir al gimnasio
online,en línea
bachelorette party,la despedida de soltera
mood,el estado de ánimo
crater,el cráter
to go by plane,ir en avión
terrorism,el terrorismo
round-trip ticket,el boleto de ida y vuelta
to show,evidenciar
fair trade,el comercio justo
first class,la primera clase
soup kitchen,comedor de beneficencia
to surf the Internet,navegar en Internet
danger of extinction,peligro de extinción
source of energy,la fuente de energía
special effect,el efecto especial
direct flight,el vuelo directo
excess baggage,exceso de equipaje
movie star,la estrella de cine
to go by bus,ir en autobús
tourist class,la clase turista
round-trip ticket,el pasaje de ida y vuelta
to mail,echar al buzón
air pollution,la contaminación del aire
Dominican Republic,la República Dominicana
to write emails,escribir correos electrónicos
medical insurance,el seguro médico
forest fire,el incendio forestal
election,las elecciones
to take shelter,refugiarse
around,alrededor
afternoon,la tarde
pretty,lindo
people,el pueblo
real,real
agreement,el acuerdo
luck,la suerte
but,sino
to carry out,realizar
in front,delante
lack,la falta
behind,detrás
to sweep,barrer
stocking,la media
doll,la muñeca
immediately,enseguida
to cover,cubrir
to brush,cepillarse
size,el tamaño
to thank,agradecer
only,solamente
bottom,el fondo
to dare,atreverse
underneath,debajo
soul,el alma
thirst,la sed
leaf,la hoja
to happen,suceder
type,el tipo
to stop,detener
to move,mover
rock,el rock
to bark,ladrar
content,el contenido
to behave,comportarse
receipt,el recibo
to complete,completar
to flirt,coquetear
charming,encantador
appearance,el aspecto
suggestion,la sugerencia
to empty,vaciar
cave,la cueva
surgery,la cirugía
to mean,significar
chore,el quehacer
nut,la nuez
introduction,la introducción
to pour,verter
to dye,teñir
female,la hembra
to assemble,armar
colleague,el/la colega
grapefruit,la toronja
to apply,aplicar
physical,físico
to admit,admitir
successful,exitoso
to compare,comparar
thumb,el pulgar
raspberry,la frambuesa
broccoli,el brócoli
to imagine,imaginar
tear,la lágrima
exactly,exactamente
text,el texto
plumber,el plomero
monthly,mensual
strict,estricto
theory,la teoría
rainy,lluvioso
completely,completamente
vocabulary,el vocabulario
free,libre
welcome,bienvenido
tell me,dime
down,abajo
value,el valor
to crash,chocar
right,la derecha
true,cierto
to burn,quemar
to meet,reunirse
left,la izquierda
to deserve,merecer
Puerto Rico,Puerto Rico
to smell,oler
to attend to,atender
dear,querido
to correct,corregir
cloth,la tela
sense,el sentido
taco,el taco
wrong,equivocado
to have an afternoon snack,merendar
god,el dios
to include,incluir
customs,la aduana
part,la parte
Chile,Chile
waiter,el mesero
sale,la venta
environment,el entorno
truck,el camión
sports,los deportes
honor,el honor
to take,tardar
gas,el gas
to raise,criar
famous,conocido
to climb,escalar
to cross,atravesar
dead,muerto
student,el alumno
to throw,arrojar
to fail,fallar
to suffer from,padecer
true,verdadero
final,final
liar,mentiroso
whim,el capricho
location,la ubicación
signal,la señal
failure,el fracaso
attentively,atentamente
toilet,el inodoro
rope,la cuerda
school,escolar
to worry,preocupar
honey,la miel
wheat,el trigo
humble,humilde
to provide,proveer
permission,el permiso
course,el rumbo
spider,la araña
