to compete,competir
to derail,descarrilar
to live on,perdurar
to pound,aporrear
to cancel,cancelar
to imitate,imitar
to crush,aplastar
to challenge,retar
to put to bed,acostar
to climb,escalar
to suffer,sufrir
to lose weight,adelgazar
to guide,guiar
to lie,mentir
to swear,jurar
to scream,chillar
to request,solicitar
to disperse,dispersar
to promote,fomentar
to numb,entumecer
to make sleepy,adormecer
to hit,golpear
to have breakfast,desayunar
to jump,saltar
to place,colocar
to walk,marchar
to graduate,licenciarse
to promote,promocionar
to commercialize,comercializar
to center,centrar
to fence in,vallar
to text,enviar mensajes de texto
to order,ordenar
to mention,nombrar
to grow,crecer
to put on makeup,maquillarse
to vacuum,pasar la aspiradora
to swing,balancear
to swing,oscilar
to agree,acordar
to soap,enjabonar
to draw,trazar
to exaggerate,exagerar
to overact,sobreactuar
to pack,empacar
to make an effort,esforzarse
to finish,apurar
to allow,permitir
to woo,cortejar
to cut,partir
to dry,secarse
to take down,descolgar
to land,aterrizar
to encourage,animar
to travel around,recorrer
to populate,poblar
to chat,charlar
to celebrate,celebrar
to happen,ocurrir
to be overconfident,confiarse
to communicate,comunicar
to conjugate,conjugar
to dream,soñar
to surprise,sorprender
to captivate,cautivar
to amaze,asombrar
to disguise as,disfrazar
to improve,mejorar
to hurry up,apresurarse
to laugh,reírse
to guess,adivinar
to heat,calentar
to withstand,resistir
to bear,aguantar
to stand,soportar
to please,placer
to increase,aumentar
to marry,casar
to finish,acabar
to participate,participar
to turn in,entregar
to cross,cruzar
to extend,extenderse
to cover,abarcar
to plan,proyectar
to perfect,perfeccionar
to reflect,reflejar
to skate,patinar
to support,apoyar
to consider,considerar
to add,agregar
to please,agradar
to be surprised,sorprenderse
to happen,suceder
to say hello to,saludar
to fear,temer
to defeat,vencer
to hug,abrazar
to cover,cubrir
to take advantage of,aprovechar
to train,adiestrar
to form,formar
to train,entrenar
to warn,advertir
to notify,notificar
to inform,informar
to advise,asesorar
to recommend,recomendar
to advise,aconsejar
to shake,sacudir
to come from,provenir
to show,señalar
to mark,marcar
to be able to,lograr
to handle,manejar
to propose,proponer
to move,conmover
to transport,transportar
to transfer,trasladar
to move,mover
to oppose,oponerse
to object,objetar
to prune,podar
to cut off,recortar
to fish,pescar
to move,mudarse
to assume,asumir
to return,regresar
to walk,dirigirse
to thrill,emocionar
to complete,completar
to produce,producir
to get married,casarse
to put,meter
to obey,obedecer
to overcome,superar
to order,mandar
to resume,reanudar
to restart,reiniciar
to review,revisar
to accumulate,acumular
to bother,molestar
to raise,levantar
to camp,acampar
to cry,llorar
to lend,prestar
to tackle,abordar
to shout,gritar
to hide,esconder
to snow,nevar
to rest,descansar
to bring up,educar
to enter,entrar
to deceive,engañar
to reach,alcanzar
to burst,reventar
to fix,fijar
to have fun,divertirse
to let go of,soltar
to jump,brincar
to scuba dive,bucear
to discover,descubrir
to thunder,tronar
to boom,retumbar
to take a bath,bañarse
to forget,olvidar
to love,amar
to demand,exigir
to seize,apoderarse
to destroy,destruir
to interview,entrevistar
to equip,equipar
to suppose,suponer
to enjoy,disfrutar
to shave,afeitarse
to turn on,encender
to sell,vender
to paint,pintar
to control,regular
to talk,platicar
to compare,comparar
to matter,importar
to fast,ayunar
to interest,interesar
to accept,aceptar
to show,mostrar
to receive,recibir
to meet with,encontrarse con
to plan,programar
to smell,oler
to taste,degustar
to taste,catar
to fill,llenar
to miss,faltar
to look after,atender
to take care of,cuidar
to carry out,realizar
to say goodbye,despedirse
to comb one's hair,peinarse
to build,construir
to exploit,exprimir
to milk,ordeñar
to collect,juntar
to wonder,preguntarse
to brush,cepillarse
to break,romper
to share,compartir
to get dressed,vestirse
to fight,luchar
to fight,pelear
to ski,esquiar
to hurt,doler
to change,cambiar
to have dinner,cenar
to turn off,apagar
to remember,acordarse
to ring,sonar
to avoid,evitar
to cost,costar
to take a shower,ducharse
to park,aparcar
to sit,sentarse
to remember,recordar
to be born,nacer
to seem,parecer
to rain,llover
to bore,aburrir
to throw,echar
to understand,comprender
to wash,lavarse
to decide,decidir
to answer,contestar
to become,llegar a ser
to turn into,convertirse en
to rent,alquilar
to miss,extrañar
to listen to,oír
to swim,nadar
to need,necesitar
to go up,subir
to want,desear
to prepare,preparar
to feel,sentirse
to use to,soler
to end,terminar
to count,contar
to talk,hablar
to use,usar
to practice,practicar
to pick up,recoger
to be called,llamarse
to try,intentar
to try,probar
to start,comenzar
to get up,levantarse
to describe,describir
to stay,quedarse
to advance,avanzar
to cook,cocinar
to go,marcharse
to abandon,abandonar
to leave,dejar
to watch,observar
to prefer,preferir
to brown,dorar
to find,encontrar
to wake up,despertarse
to believe,creer
to take,tardar
to owe,deber
to love,encantar
to call,llamar
to listen to,escuchar
to drink,beber
to follow,seguir
to take out,sacar
to work,trabajar
to stop,parar
to sing,cantar
to delete,borrar
to go to bed,acostarse
to help,ayudar
to start,empezar
to walk,caminar
to think,pensar
to travel,viajar
to be left,quedar
to take,tomar
to run,correr
to dance,bailar
to take,llevar
to look for,buscar
to buy,comprar
to live,vivir
to play,jugar
to arrive,llegar
to go out,salir
to know,conocer
to like,gustar
to eat,comer
to speak,hablar
to kick,patear
to head,cabecear
to throw,lanzar
to pass,pasar
to dribble past,regatear
to dribble,driblar
to touch,tocar
to reprimand,amonestar
to throw out,expulsar
to thrash,golear
to confront,enfrentar
to clear,despejar
to win,ganar
to lose,perder
to tie,empatar
to bark,ladrar
to meow,maullar
to raise,criar
to take out for a walk,sacar a pasear
to feed,alimentar
to pet,acariciar
to growl,gruñir
to mate,aparear
to castrate,castrar
to purr,ronronear
to sterilize,esterilizar
to tame,domesticar
to bite,morder
to sting,picar
to gallop,galopar
to fly,volar
to get depressed,abatirse
to land,posarse
to scratch,rasguñar
to commit a crime,delinquir
to commit,cometer
to kill,matar
to murder,asesinar
to rape,violar
to rob,asaltar
to rob,atracar
to steal,robar
to steal,hurtar
to sue,demandar
to prosecute,procesar
to prosecute,encausar
to question,interrogar
to try,enjuiciar
to acquit,absolver
to sentence,condenar
to judge,juzgar
to appeal,apelar
to fine,multar
to slice,cortar en rebanadas
to chop,picar
to sprinkle,espolvorear
to peel,pelar
to grate,rallar
to grind,triturar
to pour,verter
to bake,hornear
to cook over a low heat,cocer a fuego lento
to fry,freír
to sauté,saltear
to measure,medir
to add,añadir
to simmer,hervir a fuego lento
to melt,fundir
to boil,hervir
to mix,mezclar
to ride,montar
to beat,batir
to drain,drenar
to strain,colar
to roast,asar
to turn over,voltear
to stir,revolver
to explain,explicar
to learn,aprender
to understand,entender
to study,estudiar
to memorize,memorizar
to write,escribir
to argue,discutir
to fail,reprobar
to pass,aprobar
to graduate,graduarse
to go over,repasar
to make a summary of,hacer un resumen de
to note down,anotar
to attend,asistir
to go to class,ir a clases
to ask a question,hacer una pregunta
to put one's hand up,levantar la mano
to take an exam,rendir un examen
to skip class,faltar a clase
to work in pairs,trabajar en parejas
to do one's homework,hacer la tarea
to do homework,hacer los deberes
to go to school,ir a la escuela
to underline,subrayar
to write in cursive,escribir en cursiva
to write a sentence,escribir una oración
to pay attention in class,prestar atención en clase
to match the words,unir las palabras
to ask,preguntar
to answer,responder
to take note,tomar nota
to summarize,resumir
to learn by heart,aprender de memoria
to learn,aprenderse
to draw,dibujar
to stand out,resaltar
to study for the exam,estudiar para el examen
to put on,ponerse
to iron,planchar
to take off,quitarse
to stretch,estirar
to tear,rasgar
to clean,limpiar
to wash,lavar
to dry,secar
to go with,combinar
to clash,desentonar
to get wrinkled,arrugarse
to try on,probarse
to fold,doblar
to hang,colgar
to vote,votar
to register,registrarse
to choose,elegir
to govern,gobernar
to overthrow,derrocar
to veto,vetar
to debate,debatir
to plan,planificar
to give a speech,dar un discurso
to log off,desconectarse
to go online,entrar en línea
to surf,navegar
to download,descargar
to go down,bajar
to email,enviar por correo electrónico
to attach,adjuntar
to open,abrir
to close,cerrar
to insert,introducir
to copy,copiar
to cut,cortar
to displace,desplazar
to press,pulsar
to click on,hacer clic en
to scan,escanear
to save,guardar
to load,cargar
to install,instalar
to have,tener
to be,ser
to give,dar
to keep,retener
to feel,sentir
to ask for,pedir
to laugh,reír
to smile,sonreír
to get,conseguir
to say goodbye to,despedir
to amuse,divertir
to die,morir
to do again,repetir
to serve,servir
to suggest,sugerir
to wear,vestir
to drive,conducir
to translate,traducir
to say,decir
to bring,traer
to fall,caer
to read,leer
to gnaw on,roer
to hear,oír
to conclude,concluir
to be,estar
to fit,caber
to have,haber
to do,hacer
to want,querer
to go,ir
to know,saber
to know very well,resaber
to have,disponer
to sleep,dormir
